BP,Lake_Gölhisar ,z_score,,BP,Sofular_cave ,z_score,,BP,Eski_Acıgöl,z_score,,BP,Dim_cave,z_score,,BP,Karaca_cave,z_score,,BP,Lake_Van,z_score,,BP,Jeita_cave,z_score,,BP,Lake_Hula,z_score,,BP,Jerusalem_West_cave,z_score,,BP,Soreq_cave,z_score,,BP,KunaBa_cave,z_score,,BP,Lake_Zeribar,z_score,,BP,Lake_Mirabad,z_score,,BP,Gol_e_Zard_cave,z_score,,BP,Hoti_cave,z_score,,BP,Qunf_cave,z_score
2131,-5.23,-0.0647611004,,2097,-8.45,0.5978794175,,2081,2.76,1.6961437171,,9738,-6.095,-0.3908053053,,5904,-11.1761,0.6593108443,,2240,1.47,0.6404905097,,2197,-4.77,1.4176889107,,2451,-7.8,1.1012141284,,2289,-5.13,0.148160394,,2240,-5.36,0.695700087,,2107,-6.31,1.2193422364,,2186,-3.95,0.7290698984,,2000,-3.8,0.6386174777,,3770,-8.27,-0.8812039923,,6026,-1.46,6.6877990283,,2700,-0.85,1.4068977184
2314,-5.03,0.0554141375,,2108,-8.32,0.6973436415,,2126,2.58,1.6007689964,,9763,-6.233,-0.7161147595,,5960,-10.436,1.6708154577,,2352,1.7,0.8725001965,,2221,-4.92,1.1219367648,,2736,-7.71,1.3059853506,,2947,-5.18,0.0832199616,,2360,-5.42,0.5611449126,,2110,-6.26,1.3660830951,,2293,-4.2,0.5329038506,,2549,-3.84,0.5910842678,,3780,-8.37,-1.1457476339,,6030,-2.43,4.7869991242,,2705,-0.99,1.0988229011
2461,-5,0.0734404232,,2118,-8.23,0.766203489,,2172,2.12,1.357033599,,9788,-6.764,-1.9678489638,,6037,-11.1374,0.7122026542,,2520,1.97,1.1448593941,,2246,-4.79,1.3782552912,,3040,-7.63,1.4880042148,,3595,-5.54,-0.384351152,,2480,-5.39,0.6284224998,,2113,-6.28,1.3073867516,,2442,-4.53,0.2739646676,,2838,-4.14,0.2345851934,,3790,-8.28,-0.9076583565,,6034,-3.18,3.3173084766,,2711,-1.08,0.9007748042
2608,-4.4,0.433966137,,2128,-7.99,0.9498297488,,2218,1.5,1.028520672,,9813,-6.472,-1.2795130172,,6114,-10.814,1.1541977792,,2688,1.73,0.9027623296,,2270,-4.92,1.1219367648,,3306,-7.65,1.4424994988,,4229,-6.38,-1.4753504171,,2600,-5.6,0.1574793893,,2116,-6.28,1.3073867516,,2591,-4.29,0.4622840734,,3234,-4,0.4009514281,,3800,-8.2,-0.6960234432,,6038,-2.95,3.7680136086,,2716,-1.01,1.0548122129
2657,-4.17,0.5721676606,,2139,-8.08,0.8809699013,,2264,0.69,0.5993344287,,9837,-6.804,-2.0621415592,,6199,-10.811,1.1582979195,,2800,1.7,0.8725001965,,2295,-4.87,1.2205208134,,3591,-7.65,1.4424994988,,4346,-5.64,-0.5142320169,,2760,-5.56,0.2471828389,,2119,-6.27,1.3367349234,,2740,-4.15,0.5721370602,,3402,-4.55,-0.2526302083,,3810,-8.05,-0.2992079808,,6042,-3.07,3.532863105,,2722,-0.9,1.2968709979
2683,-4,0.6743166129,,2149,-8.15,0.8274122422,,2309,0.93,0.726500723,,9862,-6.403,-1.1168582901,,6268,-10.8477,1.1081395364,,2912,1.3,0.469005089,,2320,-5,0.964202287,,3872,-7.58,1.601766005,,4720,-5.75,-0.6571009683,,2930,-5.51,0.3593121509,,2122,-6.28,1.3073867516,,2889,-4.2,0.5329038506,,3615,-5.1,-0.9062118446,,3820,-8.1,-0.4314798016,,6046,-2.65,4.3558898676,,2727,-1.06,0.9447854924
2710,-3.97,0.6923428986,,2160,-8.14,0.8350633364,,2355,1.48,1.0179234808,,9887,-6.814,-2.0857147081,,6291,-10.9321,0.9927889225,,3024,1.53,0.7010147758,,2344,-4.99,0.9839190967,,4180,-7.55,1.670023079,,5381,-5.71,-0.6051486224,,3100,-5.62,0.1126276645,,2125,-6.32,1.1899940647,,3039,-4.55,0.2582713837,,4026,-4.59,-0.3001634182,,3830,-8.2,-0.6960234432,,6050,-3.9,1.906405455,,2732,-1.28,0.4606679224
2736,-3.97,0.6923428986,,2170,-8.08,0.8809699013,,2401,2.67,1.6484563568,,9912,-6.528,-1.4115226508,,6353,-10.4032,1.7156436584,,3136,0.87,0.0352478485,,2369,-5,0.964202287,,4465,-7.92,0.8281858321,,6053,-5.32,-0.0986132493,,3200,-5.41,0.583570775,,2128,-6.26,1.3660830951,,3188,-5.22,-0.2674536243,,4316,-3.53,0.9594666446,,3840,-8.05,-0.2992079808,,6054,-4.21,1.2989333207,,2738,-1.16,0.7247320515
2763,-3.8,0.7944918508,,2180,-8.13,0.8427144305,,2446,3.1,1.8762959674,,9937,-6.391,-1.0885705115,,6434,-9.9022,2.4003670895,,3248,1.6,0.7716264196,,2393,-5.06,0.8459014286,,4704,-7.77,1.1694712025,,6512,-5.69,-0.5791724494,,3300,-5.45,0.4938673254,,2131,-6.26,1.3660830951,,3337,-5.52,-0.5028528816,,4559,-3.17,1.3872655339,,3850,-7.98,-0.1140274317,,6058,-3.93,1.8476178291,,2743,-1.06,0.9447854924
2809,-3.57,0.9326933745,,2191,-8.16,0.8197611481,,2492,3.17,1.9133861366,,9961,-6.26,-0.7797622614,,6496,-10.4762,1.6158735776,,3360,1.4,0.5698788659,,2418,-4.97,1.0233527162,,4754,-7.96,0.7371764,,6882,-5.92,-0.8778984386,,3400,-5.4,0.6059966374,,2134,-6.32,1.1899940647,,3486,-5.4,-0.4086931787,,4930,-3.44,1.0664163669,,3860,-8.25,-0.828295264,,6065,-3.84,2.0239807068,,2749,-0.98,1.1208282452
